,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
49,0.272,0.135,10,-13.082,1,0.0339,0.958,1.42e-05,0.258,0.236,76.169,audio_features,2ghmhqUMZ4Z2GqpwrH8yLj,spotify:track:2ghmhqUMZ4Z2GqpwrH8yLj,https://api.spotify.com/v1/tracks/2ghmhqUMZ4Z2GqpwrH8yLj,https://api.spotify.com/v1/audio-analysis/2ghmhqUMZ4Z2GqpwrH8yLj,184427,3
50,0.162,0.61,7,-12.111,0,0.0627,0.13,0.128,0.106,0.0601,139.974,audio_features,50Dq4YN1RoHWl8l16jjM2W,spotify:track:50Dq4YN1RoHWl8l16jjM2W,https://api.spotify.com/v1/tracks/50Dq4YN1RoHWl8l16jjM2W,https://api.spotify.com/v1/audio-analysis/50Dq4YN1RoHWl8l16jjM2W,173571,3
51,0.464,0.226,1,-8.817,1,0.0256,0.777,0.0,0.108,0.635,75.443,audio_features,50AhgOXYVm9ASB6PlKdKk0,spotify:track:50AhgOXYVm9ASB6PlKdKk0,https://api.spotify.com/v1/tracks/50AhgOXYVm9ASB6PlKdKk0,https://api.spotify.com/v1/audio-analysis/50AhgOXYVm9ASB6PlKdKk0,178800,4
52,0.828,0.216,4,-12.177,1,0.0699,0.691,0.0,0.17,0.711,139.149,audio_features,5ZmGoux6Pu8rtfjBWtLR7w,spotify:track:5ZmGoux6Pu8rtfjBWtLR7w,https://api.spotify.com/v1/tracks/5ZmGoux6Pu8rtfjBWtLR7w,https://api.spotify.com/v1/audio-analysis/5ZmGoux6Pu8rtfjBWtLR7w,101213,4
53,0.51,0.344,3,-13.14,1,0.0454,0.517,0.754,0.107,0.707,118.274,audio_features,5HisVcYPaIB4uHdrnW6HCt,spotify:track:5HisVcYPaIB4uHdrnW6HCt,https://api.spotify.com/v1/tracks/5HisVcYPaIB4uHdrnW6HCt,https://api.spotify.com/v1/audio-analysis/5HisVcYPaIB4uHdrnW6HCt,189640,4
54,0.682,0.846,1,-6.345,0,0.218,0.216,1.82e-06,0.051,0.761,180.648,audio_features,42yP5D36DoJ7cKKnhnwOZp,spotify:track:42yP5D36DoJ7cKKnhnwOZp,https://api.spotify.com/v1/tracks/42yP5D36DoJ7cKKnhnwOZp,https://api.spotify.com/v1/audio-analysis/42yP5D36DoJ7cKKnhnwOZp,131827,4
55,0.788,0.878,8,-8.834,1,0.041,0.835,8.79e-06,0.0892,0.929,100.064,audio_features,7985fUI9WlsIIrQuO9TBDh,spotify:track:7985fUI9WlsIIrQuO9TBDh,https://api.spotify.com/v1/tracks/7985fUI9WlsIIrQuO9TBDh,https://api.spotify.com/v1/audio-analysis/7985fUI9WlsIIrQuO9TBDh,181067,4
56,0.429,0.13,0,-15.57,0,0.0319,0.934,0.94,0.124,0.189,85.193,audio_features,23G8P94lKwgXNAKH2z5VP8,spotify:track:23G8P94lKwgXNAKH2z5VP8,https://api.spotify.com/v1/tracks/23G8P94lKwgXNAKH2z5VP8,https://api.spotify.com/v1/audio-analysis/23G8P94lKwgXNAKH2z5VP8,163379,4
57,0.357,0.193,2,-20.505,0,0.0334,0.972,0.904,0.107,0.233,107.006,audio_features,4AyqwjnbbWfFLPKL4UUSzU,spotify:track:4AyqwjnbbWfFLPKL4UUSzU,https://api.spotify.com/v1/tracks/4AyqwjnbbWfFLPKL4UUSzU,https://api.spotify.com/v1/audio-analysis/4AyqwjnbbWfFLPKL4UUSzU,181867,4
58,0.667,0.25,11,-18.533,1,0.217,0.757,0.0,0.25,0.412,144.145,audio_features,4KM77RUl2IKdXGhtOBbKIS,spotify:track:4KM77RUl2IKdXGhtOBbKIS,https://api.spotify.com/v1/tracks/4KM77RUl2IKdXGhtOBbKIS,https://api.spotify.com/v1/audio-analysis/4KM77RUl2IKdXGhtOBbKIS,155902,4
